Order,Family,Species_name,Weight,No_of_datasets,Ln,Pn,Pin,Ls,Ps,pnps,diversity,Pis,log_Pis,L4,P4,Pi4,Range,log_Range,migrant,longevity,log_Longevity,Body_mass,log_Bodymass,BMR,log_BMR,Range_type,No_of_ranges,Area,log_Area,Average_latitude,Latitude,log_Latitude,Latitude_migrants,Average_longitude
Passeriformes,Thraupidae,Tachyphonus coronatus,4300.032,1,718.33,5,0.00038525,241.67,35,0.1389,-0.857332496,0.01768,-1.752517739,180,23,0.015646,1950000,6.29,nonmigrant,,,29.5,1.469822016,,,,,,,,,,,
Passeriformes,Estrildidae,Taeniopygia guttata,1472.008113,1,239.33,2,0.0017239,78.667,18,0.1053,-0.977723605,0.037274,-1.428593999,58,8,0.021507,308000,5.49,nonmigrant,12,1.079181246,10,1,0.205,-0.688246139,,,,,,,,,
Passeriformes,Thraupidae,Tangara cyanicollis,2837.4876,1,783.33,5,0.002695,260.67,28,0.1724,-0.763427994,0.039855,-1.399517187,195,15,0.02906,7610000,6.88,nonmigrant,,,16.4,1.214843848,,,,,,,,,,,
Passeriformes,Thraupidae,Tangara gyrola,3797.8332,1,769.33,4,0.0014283,259.67,51,0.0769,-1.113943352,0.061313,-1.212447434,196,33,0.051424,9790000,6.99,nonmigrant,,,22,1.342422681,,,,,,,,,,,
Passeriformes,Thamnophilidae,Taraba major,2715.1821,1,759.67,10,0.0059237,239.33,57,0.1724,-0.763427994,0.10794,-0.966817586,172,26,0.067829,18300000,7.26,nonmigrant,,,58.75,1.769007871,,,1,1,1072.688316,3.03047355,-7.593367219,7.593367219,0.880434403,,-59.32681584
Passeriformes,Monarchidae,Terpsiphone paradisi,2847.0156,1,637.67,6,0.0014898,220.33,51,0.1154,-0.937852093,0.034002,-1.468495537,165,28,0.025455,6400000,6.81,migrant,,,19,1.278753601,0.214,-0.669586227,1,1,122.5310284,2.088246079,19.93831421,19.93831421,1.299688436,,77.69875211
Passeriformes,Thraupidae,Tersina viridis,3243.702,1,764,3,0.00071918,256,25,0.1154,-0.937852093,0.018329,-1.736861229,194,17,0.015634,14000000,7.15,migrant,,,30.45,1.483587297,,,1,1,731.0583234,2.863952026,-9.839518883,9.839518883,0.992973864,,-59.80656547
Passeriformes,Thraupidae,Tiaris bicolor,2281.0167,1,738.67,0,0,260.33,4,,,0.0058899,-2.229892079,200,3,0.006,3760000,6.58,nonmigrant,,,10,1,,,,,,,,,,,
Passeriformes,Tilyridae,Tityra inquisitor,2445.4143,1,818,4,0.002608,253,25,0.1538,-0.812913357,0.049539,-1.305052764,184,15,0.042391,18100000,7.26,nonmigrant,,,51.9,1.715167358,,,1,3,932.2654802,2.969539604,-7.54535751,7.54535751,0.877679822,,-58.54872163
Passeriformes,Tilyridae,Tityra semifasciata,3281.8632,1,789,2,0.00036212,243,15,0.125,-0.903089987,0.017953,-1.745862969,177,8,0.014031,16200000,7.21,nonmigrant,,,82.55,1.916717078,,,1,1,565.9919582,2.752810261,-9.63283822,9.63283822,0.983754267,,-61.05199283
